geometry,target,edges,coeff,fci,energy
"[[0.         0.         0.        ]
 [2.54784675 1.07914686 0.1638941 ]
 [3.25308096 3.65102231 2.4265431 ]
 [2.91798624 2.17449997 3.7402897 ]
 [2.55880075 4.50876396 0.2982364 ]
 [5.47742254 5.21138644 3.75095209]]",[-1.4551514  -1.13089247 -1.57225967],"[[(0, 1), (2, 3), (4, 5)], [(0, 5), (1, 4), (2, 3)], [(0, 4), (1, 5), (2, 3)], [(0, 1), (2, 4), (3, 5)], [(0, 5), (1, 3), (2, 4)], [(0, 3), (1, 5), (2, 4)], [(0, 1), (2, 5), (3, 4)], [(0, 3), (1, 4), (2, 5)], [(0, 4), (1, 3), (2, 5)], [(0, 2), (1, 4), (3, 5)], [(0, 4), (1, 2), (3, 5)], [(0, 5), (1, 2), (3, 4)], [(0, 3), (1, 2), (4, 5)], [(0, 2), (1, 3), (4, 5)], [(0, 2), (1, 5), (3, 4)]]","[[ 7.07114107e-01 -7.07098724e-01 -6.56250368e-04  1.39363980e-04
  -5.28677197e-04  5.51155938e-04]
 [ 7.07097359e-01  7.07110356e-01  2.77829374e-03  7.40098926e-04
  -4.56414872e-05  1.56887709e-05]
 [-6.20017537e-04 -1.41728794e-03  7.06944157e-01 -7.07265684e-01
   8.14752815e-04 -1.46760603e-03]
 [-1.51267203e-03 -2.00687032e-03  7.07107591e-01  7.06747526e-01
  -1.99600174e-02  1.01030352e-02]
 [ 5.39553560e-04 -5.49743438e-04  1.38939104e-02  1.61695833e-02
   7.06909231e-01 -7.06982496e-01]
 [-7.06500346e-06  1.15454419e-05  5.25576559e-03  4.60045054e-03
   7.07021917e-01  7.07157140e-01]]",-2.815571241274007,-2.813417552958506
"[[0.         0.         0.        ]
 [1.99671941 3.74908514 1.83170987]
 [2.92924515 6.68371464 1.96938485]
 [3.12362439 3.54091175 2.32829067]
 [4.7332311  7.50196755 3.97561874]
 [6.62522356 7.49495357 4.71101802]]",[-1.57194657 -0.51759301 -1.14894139],"[[(0, 2), (1, 3), (4, 5)], [(0, 5), (1, 3), (2, 4)], [(0, 4), (1, 3), (2, 5)], [(0, 3), (1, 2), (4, 5)], [(0, 1), (2, 3), (4, 5)], [(0, 1), (2, 4), (3, 5)], [(0, 3), (1, 5), (2, 4)], [(0, 5), (1, 2), (3, 4)], [(0, 4), (1, 2), (3, 5)], [(0, 5), (1, 4), (2, 3)], [(0, 4), (1, 5), (2, 3)], [(0, 1), (2, 5), (3, 4)], [(0, 3), (1, 4), (2, 5)], [(0, 2), (1, 5), (3, 4)], [(0, 2), (1, 4), (3, 5)]]","[[ 7.07104716e-01  2.83032459e-04 -7.07108737e-01  2.73473364e-04
   1.52643826e-05 -1.84783671e-05]
 [-5.82283822e-03  7.07055805e-01 -5.81328134e-03 -7.07109755e-01
  -3.65074225e-04  2.24501149e-04]
 [ 7.07008224e-01  1.33803511e-02  7.07010178e-01  1.74395053e-03
   6.29984520e-03  7.36314576e-03]
 [-7.84042209e-03  7.07031048e-01 -7.28390369e-03  7.07101524e-01
   7.31452641e-06 -6.55775178e-05]
 [ 5.13261322e-04  2.68380442e-04  5.46981122e-04 -3.29925183e-04
   7.07051617e-01 -7.07161415e-01]
 [-6.83011709e-03 -2.98402283e-05 -6.83332360e-03 -5.80319004e-05
   7.07133785e-01  7.07013763e-01]]",-2.926187524176112,-2.9257591311520246
"[[0.         0.         0.        ]
 [0.8873809  0.22530101 3.22761464]
 [2.71805749 1.89546938 4.06086097]
 [3.69668262 3.84970603 5.48057805]
 [2.37752436 1.99181133 2.2470343 ]
 [3.86939933 0.4533031  2.99683003]]",[-1.57020084 -1.53627391 -1.01785931],"[[(0, 3), (1, 5), (2, 4)], [(0, 1), (2, 4), (3, 5)], [(0, 5), (1, 3), (2, 4)], [(0, 3), (1, 4), (2, 5)], [(0, 1), (2, 5), (3, 4)], [(0, 4), (1, 3), (2, 5)], [(0, 1), (2, 3), (4, 5)], [(0, 3), (1, 2), (4, 5)], [(0, 2), (1, 3), (4, 5)], [(0, 5), (1, 4), (2, 3)], [(0, 2), (1, 4), (3, 5)], [(0, 4), (1, 5), (2, 3)], [(0, 4), (1, 2), (3, 5)], [(0, 5), (1, 2), (3, 4)], [(0, 2), (1, 5), (3, 4)]]","[[ 7.07106773e-01  1.51259551e-04  9.41594766e-04 -7.07105142e-01
  -1.17622781e-03  1.92518583e-04]
 [-2.25696802e-05  7.06432021e-01  2.40954491e-02 -2.75944263e-05
  -2.62307029e-03 -7.07365766e-01]
 [-3.87230213e-04 -3.53219538e-02  7.05900634e-01  1.71953737e-03
  -7.07375057e-01 -8.60673631e-03]
 [ 7.06987286e-01 -4.91866674e-04  1.24426017e-02  7.06982420e-01
   1.37748439e-02 -1.68594430e-04]
 [-1.29879645e-02 -3.98944172e-02  7.05942241e-01 -1.32369862e-02
   7.06661868e-01 -1.84143260e-02]
 [-3.89777673e-04  7.05772151e-01  5.11229080e-02  9.70093967e-06
   7.17790929e-03  7.06555337e-01]]",-2.819196605166935,-2.811822723358692
"[[0.         0.         0.        ]
 [1.91238972 3.52240787 2.41875497]
 [2.41525741 7.26229728 5.10723798]
 [5.12680899 7.67518612 9.0729629 ]
 [4.84187496 4.09352406 6.41408832]
 [4.41035614 4.16105963 3.54509322]]",[-1.57073183 -1.46231644 -1.56743792],"[[(0, 3), (1, 5), (2, 4)], [(0, 2), (1, 5), (3, 4)], [(0, 4), (1, 5), (2, 3)], [(0, 1), (2, 3), (4, 5)], [(0, 3), (1, 2), (4, 5)], [(0, 2), (1, 3), (4, 5)], [(0, 1), (2, 5), (3, 4)], [(0, 3), (1, 4), (2, 5)], [(0, 4), (1, 3), (2, 5)], [(0, 1), (2, 4), (3, 5)], [(0, 5), (1, 3), (2, 4)], [(0, 5), (1, 2), (3, 4)], [(0, 4), (1, 2), (3, 5)], [(0, 5), (1, 4), (2, 3)], [(0, 2), (1, 4), (3, 5)]]","[[ 7.07106781e-01  2.94946174e-05 -5.02479894e-08 -7.07106780e-01
  -1.86557465e-08  3.06540278e-05]
 [ 1.31141204e-06  7.07110121e-01 -1.67197843e-03  1.52582736e-07
  -1.35943219e-03 -7.07100158e-01]
 [-1.58815912e-06  1.42301689e-04  7.07103348e-01 -1.62119513e-06
  -7.07110179e-01 -1.70230831e-04]
 [ 7.07106780e-01 -9.22953653e-07  2.26337462e-06  7.07106782e-01
  -9.46301213e-07  5.37509264e-07]
 [-6.20106925e-07  1.48788949e-03  7.07108236e-01 -6.93862052e-07
   7.07102076e-01 -1.54352296e-03]
 [-2.98816654e-05  7.07101861e-01  4.17930769e-05  3.02669844e-05
   1.38614891e-05  7.07111698e-01]]",-2.800526213669994,-2.8000448902431048
"[[0.         0.         0.        ]
 [3.53216281 2.47862479 0.67379269]
 [1.08722221 3.73548286 1.19970326]
 [1.80261388 1.6269439  1.43651181]
 [3.97702048 6.23041879 4.11737707]
 [5.34029402 6.28224014 5.89398224]]",[-1.57198108 -1.17795844 -1.273167  ],"[[(0, 2), (1, 3), (4, 5)], [(0, 1), (2, 3), (4, 5)], [(0, 5), (1, 3), (2, 4)], [(0, 4), (1, 3), (2, 5)], [(0, 3), (1, 2), (4, 5)], [(0, 5), (1, 4), (2, 3)], [(0, 4), (1, 5), (2, 3)], [(0, 5), (1, 2), (3, 4)], [(0, 4), (1, 2), (3, 5)], [(0, 3), (1, 5), (2, 4)], [(0, 3), (1, 4), (2, 5)], [(0, 2), (1, 4), (3, 5)], [(0, 2), (1, 5), (3, 4)], [(0, 1), (2, 4), (3, 5)], [(0, 1), (2, 5), (3, 4)]]","[[ 7.06969674e-01  6.14361920e-03 -7.07185810e-01 -6.66083946e-03
  -4.62107057e-07 -8.48335078e-07]
 [-2.47524738e-02  7.06925261e-01 -1.19467805e-02 -7.06754033e-01
   2.13184736e-05  2.23974240e-05]
 [ 7.06787307e-01  2.43479134e-02  7.06899127e-01 -1.23490564e-02
   5.48879155e-05  5.99834772e-05]
 [-5.73536804e-03  7.06842351e-01 -6.25508502e-03  7.07320203e-01
  -3.09881517e-05  3.24604581e-05]
 [ 2.07757010e-06  3.23379240e-05  2.45064466e-06  3.11519119e-05
   7.07104023e-01 -7.07109538e-01]
 [-5.59835301e-05 -2.45600887e-05 -5.76983057e-05  2.21076875e-05
   7.07109536e-01  7.07104021e-01]]",-2.8183267566304173,-2.8137590107954806
"[[0.         0.         0.        ]
 [0.70403289 3.21303141 1.62030469]
 [2.84361556 0.96406536 3.47118744]
 [2.59801754 2.9804693  2.17128011]
 [2.35456129 2.87290381 1.54608348]
 [4.97530577 6.60514306 2.94415778]]",[-1.57151875 -1.60080149 -0.19441095],"[[(0, 5), (1, 2), (3, 4)], [(0, 1), (2, 5), (3, 4)], [(0, 2), (1, 5), (3, 4)], [(0, 5), (1, 4), (2, 3)], [(0, 2), (1, 4), (3, 5)], [(0, 3), (1, 4), (2, 5)], [(0, 5), (1, 3), (2, 4)], [(0, 4), (1, 3), (2, 5)], [(0, 2), (1, 3), (4, 5)], [(0, 1), (2, 3), (4, 5)], [(0, 4), (1, 5), (2, 3)], [(0, 1), (2, 4), (3, 5)], [(0, 3), (1, 5), (2, 4)], [(0, 4), (1, 2), (3, 5)], [(0, 3), (1, 2), (4, 5)]]","[[ 7.07106156e-01 -1.59164547e-04 -3.73140059e-05  9.39036144e-04
  -8.37945842e-04 -7.07106267e-01]
 [-4.61596666e-05  7.01929579e-01 -7.02406867e-01  1.01506869e-01
  -6.01316056e-02  3.89660994e-05]
 [ 8.22575602e-05  7.05806984e-01  7.07529118e-01  2.79279651e-02
   2.14256867e-02 -1.02252755e-04]
 [-8.97349811e-04 -8.42207972e-02  7.75204981e-02  7.03029684e-01
  -7.01886820e-01  8.82900129e-04]
 [-4.70549130e-04 -4.51464084e-02 -4.20845216e-03  7.03323955e-01
   7.09421701e-01 -3.66841317e-04]
 [ 7.07106674e-01 -1.40431619e-05  4.73082549e-06  4.24549844e-04
   4.12891510e-04  7.07106640e-01]]",-2.987539165858078,-2.9865961943061716
"[[0.         0.         0.        ]
 [2.2496977  1.762772   0.89447441]
 [1.1687451  2.72628911 0.77373415]
 [0.15253526 1.02090574 0.39318908]
 [4.05388183 5.27654743 2.61933713]
 [4.95820783 8.05915987 5.1973961 ]]",[-0.40838768 -0.68679556 -1.55958887],"[[(0, 3), (1, 2), (4, 5)], [(0, 3), (1, 5), (2, 4)], [(0, 3), (1, 4), (2, 5)], [(0, 5), (1, 2), (3, 4)], [(0, 4), (1, 2), (3, 5)], [(0, 1), (2, 3), (4, 5)], [(0, 5), (1, 4), (2, 3)], [(0, 4), (1, 5), (2, 3)], [(0, 2), (1, 3), (4, 5)], [(0, 5), (1, 3), (2, 4)], [(0, 4), (1, 3), (2, 5)], [(0, 1), (2, 4), (3, 5)], [(0, 1), (2, 5), (3, 4)], [(0, 2), (1, 4), (3, 5)], [(0, 2), (1, 5), (3, 4)]]","[[ 7.09560776e-01 -6.26101435e-02 -1.67028297e-02 -7.01658350e-01
   1.59236762e-04 -1.60783015e-04]
 [ 3.74224632e-03  7.04586574e-01 -7.08350353e-01 -4.22251524e-02
  -5.28531701e-04  5.38227400e-04]
 [ 2.26800520e-02  7.05901432e-01  7.05660146e-01 -5.68515803e-02
  -4.63856521e-04  4.74169381e-04]
 [ 7.04269202e-01  3.66041461e-02 -2.13259355e-03  7.08985524e-01
  -5.61612252e-05  5.55991232e-05]
 [-8.70431647e-05  1.01675316e-03 -6.26530841e-05  1.45245960e-04
   7.07106231e-01 -7.07106577e-01]
 [ 8.64665253e-07 -1.00318687e-05 -3.08630588e-07  2.18733679e-07
   7.07106962e-01  7.07106601e-01]]",-3.012635989291023,-3.011758559968084
"[[0.         0.         0.        ]
 [2.15162439 2.1339112  2.43412556]
 [3.9217435  2.38565147 3.07434544]
 [0.62941402 2.23287792 3.61095455]
 [1.57198462 1.34666084 0.65846557]
 [1.56245097 5.67313714 6.67506221]]",[-1.22765897 -1.0196795  -1.56937874],"[[(0, 4), (1, 2), (3, 5)], [(0, 4), (1, 3), (2, 5)], [(0, 5), (1, 2), (3, 4)], [(0, 3), (1, 2), (4, 5)], [(0, 5), (1, 3), (2, 4)], [(0, 2), (1, 3), (4, 5)], [(0, 5), (1, 4), (2, 3)], [(0, 3), (1, 4), (2, 5)], [(0, 2), (1, 4), (3, 5)], [(0, 4), (1, 5), (2, 3)], [(0, 1), (2, 5), (3, 4)], [(0, 2), (1, 5), (3, 4)], [(0, 1), (2, 3), (4, 5)], [(0, 1), (2, 4), (3, 5)], [(0, 3), (1, 5), (2, 4)]]","[[ 7.07169338e-01 -1.90335862e-02  1.75668294e-02 -3.70381828e-04
  -7.06569444e-01  3.73284932e-04]
 [ 1.91902032e-02  7.05488038e-01 -7.08243475e-01  1.86586145e-03
  -1.74083037e-02 -1.73596500e-03]
 [-3.22841994e-02  7.06631299e-01  7.03628935e-01 -4.11870723e-02
  -3.38097877e-02  4.11920186e-02]
 [ 2.82067806e-04  3.95062357e-02  4.29613202e-02  7.05898108e-01
  -4.56765856e-04 -7.05904494e-01]
 [ 7.06045972e-01  3.21840116e-02  3.38116684e-02 -1.84032832e-03
   7.06621016e-01  1.84355147e-03]
 [-4.70927890e-06 -6.71268913e-05  6.26725428e-05  7.07109950e-01
   1.55513682e-06  7.07103607e-01]]",-2.833049735198764,-2.813224436637581
"[[0.         0.         0.        ]
 [1.98454092 3.07641307 1.73750885]
 [1.5771227  0.42722486 2.25552863]
 [2.88898968 6.09187586 2.34648456]
 [3.06507406 1.22601714 2.61831421]
 [7.05177956 4.94803829 6.56312877]]",[-1.57076129 -1.52164892 -0.91940676],"[[(0, 5), (1, 3), (2, 4)], [(0, 1), (2, 4), (3, 5)], [(0, 3), (1, 5), (2, 4)], [(0, 2), (1, 4), (3, 5)], [(0, 5), (1, 4), (2, 3)], [(0, 3), (1, 4), (2, 5)], [(0, 2), (1, 3), (4, 5)], [(0, 4), (1, 2), (3, 5)], [(0, 5), (1, 2), (3, 4)], [(0, 3), (1, 2), (4, 5)], [(0, 2), (1, 5), (3, 4)], [(0, 4), (1, 3), (2, 5)], [(0, 1), (2, 5), (3, 4)], [(0, 1), (2, 3), (4, 5)], [(0, 4), (1, 5), (2, 3)]]","[[ 7.07021463e-01 -6.12769414e-05  9.96616614e-03  6.14279219e-05
   1.19261376e-02 -7.07021277e-01]
 [-5.78741308e-05  7.06547672e-01  3.50767604e-02 -7.06631918e-01
  -1.52096791e-02  5.73785192e-05]
 [ 9.78327001e-04 -2.44327323e-02  7.06616774e-01  2.58571801e-02
  -7.06700269e-01 -9.77567111e-04]
 [ 2.21783367e-05  7.07193329e-01 -2.21008343e-03  7.07016326e-01
  -7.90795652e-04 -2.21785926e-05]
 [-1.09464602e-02 -8.42741749e-03  7.06652777e-01  1.14302165e-02
   7.07248569e-01  1.09462037e-02]
 [ 7.07106686e-01  2.59345567e-07 -2.40524096e-07 -2.59339942e-07
   5.01111265e-07  7.07106877e-01]]",-2.8336080045980268,-2.831382685533648
"[[0.         0.         0.        ]
 [1.94878513 2.65002414 1.7084302 ]
 [2.10252208 4.39184508 3.77738743]
 [4.79598093 5.54582599 4.76795382]
 [0.56751731 2.64923911 1.75929337]
 [0.47489985 1.41315782 3.81526339]]",[-1.56718688 -0.62041445 -1.50635718],"[[(0, 5), (1, 4), (2, 3)], [(0, 3), (1, 4), (2, 5)], [(0, 2), (1, 4), (3, 5)], [(0, 3), (1, 2), (4, 5)], [(0, 1), (2, 3), (4, 5)], [(0, 2), (1, 3), (4, 5)], [(0, 4), (1, 2), (3, 5)], [(0, 4), (1, 5), (2, 3)], [(0, 5), (1, 2), (3, 4)], [(0, 3), (1, 5), (2, 4)], [(0, 2), (1, 5), (3, 4)], [(0, 1), (2, 4), (3, 5)], [(0, 5), (1, 3), (2, 4)], [(0, 4), (1, 3), (2, 5)], [(0, 1), (2, 5), (3, 4)]]","[[ 7.06946559e-01  7.06657271e-03 -7.02672422e-05  2.64880490e-05
  -4.74872888e-03 -7.07215717e-01]
 [-3.40328141e-02  7.06450306e-01 -4.82628386e-03  6.22563598e-03
  -7.06550870e-01 -2.22159596e-02]
 [-2.40290540e-04  2.16127119e-02  7.06870487e-01 -7.06933654e-01
   1.05697688e-02 -1.91925697e-04]
 [-1.74602935e-04 -1.05738783e-03  7.07151327e-01  7.07061291e-01
   3.58193149e-04 -2.31285745e-04]
 [-8.97676044e-03  7.06482485e-01 -1.57421225e-02  1.64379517e-02
   7.07276131e-01 -6.66105259e-03]
 [ 7.06390586e-01  3.59485756e-02  5.29946048e-05  4.16618432e-04
  -2.02963720e-02  7.06617238e-01]]",-2.883996832015731,-2.8829867130450193
