geometry,target,edges,coeff,fci,energy
"[[0.         0.         0.        ]
 [0.         0.         0.52402402]
 [0.         0.         1.04804805]
 [0.         0.         1.57207207]]",[-0.09213257 -0.09213258],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72614037 -0.65821779 -0.13342735  0.14719594]
 [ 0.65821779  0.72614037  0.14719594  0.13342735]
 [ 0.14719594 -0.13342735  0.65821779 -0.72614037]
 [-0.13342735 -0.14719594  0.72614037  0.65821779]]",-1.7478178837029255,-1.714809439274673
"[[0.         0.         0.        ]
 [0.         0.         0.52602603]
 [0.         0.         1.05205205]
 [0.         0.         1.57807808]]",[-0.09265895 -0.09265895],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72600684 -0.65836507 -0.13345721  0.14716887]
 [ 0.65836507  0.72600684  0.14716887  0.13345721]
 [ 0.14716887 -0.13345721  0.65836507 -0.72600684]
 [-0.13345721 -0.14716887  0.72600684  0.65836507]]",-1.7550053460519308,-1.722357539441988
"[[0.         0.         0.        ]
 [0.         0.         0.52802803]
 [0.         0.         1.05605606]
 [0.         0.         1.58408408]]",[-0.08800547 -0.08800774],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72416791 -0.64459694 -0.16297956  0.18306636]
 [ 0.64460608  0.72417579  0.1830352   0.16294337]
 [ 0.18309151 -0.1629513   0.6445906  -0.72417355]
 [-0.16291512 -0.18306035  0.72418143  0.64459974]]",-1.7620942496578271,-1.7508073621938334
"[[0.         0.         0.        ]
 [0.         0.         0.53003003]
 [0.         0.         1.06006006]
 [0.         0.         1.59009009]]",[-0.09371583 -0.09371592],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72573917 -0.65866012 -0.13351702  0.14711461]
 [ 0.65866012  0.72573917  0.14711461  0.13351702]
 [ 0.14711461 -0.13351702  0.65866012 -0.72573917]
 [-0.13351702 -0.14711461  0.72573917  0.65866012]]",-1.7690873417016268,-1.7371575683947744
"[[0.         0.         0.        ]
 [0.         0.         0.53203203]
 [0.         0.         1.06406406]
 [0.         0.         1.5960961 ]]",[-0.0890772  -0.08910861],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72390253 -0.64508265 -0.16267105  0.18267906]
 [ 0.64510621  0.72392352  0.1825958   0.16257766]
 [ 0.18254357 -0.16282308  0.64512068 -0.72386863]
 [-0.16272969 -0.18246032  0.72388964  0.64514423]]",-1.7759822030738235,-1.7646497851222767
"[[0.         0.         0.        ]
 [0.         0.         0.53403403]
 [0.         0.         1.06806807]
 [0.         0.         1.6021021 ]]",[-0.09478088 -0.09478089],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72547173 -0.65895468 -0.13357673  0.1470604 ]
 [ 0.65895468  0.72547173  0.1470604   0.13357673]
 [ 0.1470604  -0.13357673  0.65895468 -0.72547173]
 [-0.13357673 -0.1470604   0.72547173  0.65895468]]",-1.7827769104084696,-1.7515403450604368
"[[0.         0.         0.        ]
 [0.         0.         0.53603604]
 [0.         0.         1.07207207]
 [0.         0.         1.60810811]]",[-0.09578249 -0.09578246],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72533853 -0.6591013  -0.13360645  0.1470334 ]
 [ 0.6591013   0.72533853  0.1470334   0.13360645]
 [ 0.1470334  -0.13360645  0.6591013  -0.72533853]
 [-0.13360645 -0.1470334   0.72533853  0.6591013 ]]",-1.7894735203669772,-1.7585667649918375
"[[0.         0.         0.        ]
 [0.         0.         0.53803804]
 [0.         0.         1.07607608]
 [0.         0.         1.61411411]]",[-0.09073637 -0.09073717],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72347292 -0.64588322 -0.16235979  0.18182708]
 [ 0.64589106  0.72347957  0.18180063  0.16232862]
 [ 0.18185759 -0.16232562  0.64587547 -0.72347985]
 [-0.16229445 -0.18183114  0.72348649  0.6458833 ]]",-1.796078826039615,-1.7846791867961438
"[[0.         0.         0.        ]
 [0.         0.         0.54004004]
 [0.         0.         1.08008008]
 [0.         0.         1.62012012]]",[-0.09639421 -0.09639415],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72507159 -0.65939494 -0.13366597  0.14697929]
 [ 0.65939494  0.72507159  0.14697929  0.13366597]
 [ 0.14697929 -0.13366597  0.65939494 -0.72507159]
 [-0.13366597 -0.14697929  0.72507159  0.65939494]]",-1.802594318253604,-1.7723457203938422
"[[0.         0.         0.        ]
 [0.         0.         0.54204204]
 [0.         0.         1.08408408]
 [0.         0.         1.62612613]]",[-0.09184445 -0.09184369],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72320977 -0.64639223 -0.16204752  0.18134307]
 [ 0.64638437  0.72320315  0.18136949  0.16207886]
 [ 0.18131186 -0.16208244  0.64640009 -0.72320275]
 [-0.16211378 -0.18133828  0.72319612  0.64639223]]",-1.8090181103567922,-1.7975733149477084
