geometry,target,edges,coeff,fci,energy
"[[0.         0.         0.        ]
 [0.31436184 2.95135278 2.21419997]
 [3.8792268  6.21836273 5.2462588 ]
 [0.52739999 6.70721229 4.03730388]]",[-1.55492234 -1.54719399],"[[(0, 1), (2, 3)], [(0, 2), (1, 3)], [(0, 3), (1, 2)]]","[[ 0.70710678 -0.70710678  0.          0.        ]
 [ 0.70710678  0.70710678  0.          0.        ]
 [ 0.          0.          0.70710678 -0.70710678]
 [ 0.          0.          0.70710678  0.70710678]]",-1.8663984576666268,-1.8663962249936803
"[[0.         0.         0.        ]
 [3.92662018 1.36273292 2.41683431]
 [0.80842539 1.38301651 0.17839117]
 [3.511401   3.27549194 2.93318375]]",[-0.82437638 -1.14905181],"[[(0, 2), (1, 3)], [(0, 3), (1, 2)], [(0, 1), (2, 3)]]","[[ 7.07144314e-01 -1.68856121e-03 -7.07066593e-01  9.49412899e-04]
 [ 1.08600997e-03  7.07073174e-01 -1.55195616e-03 -7.07137850e-01]
 [ 7.07068360e-01  8.74266483e-04  7.07144542e-01  4.08118920e-04]
 [-2.71514572e-04  7.07137831e-01 -1.01085162e-03  7.07074956e-01]]",-1.9293966111559644,-1.9293931022903108
"[[0.         0.         0.        ]
 [3.20753875 2.65891796 2.05552872]
 [6.38418884 6.39175951 5.76248425]
 [8.66227088 8.57416806 8.94743826]]",[-1.57125927 -1.56559296],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.70710678 -0.70710678  0.          0.        ]
 [ 0.70710678  0.70710678  0.          0.        ]
 [ 0.          0.          0.70710678 -0.70710678]
 [ 0.          0.          0.70710678  0.70710678]]",-1.8663286150881608,-1.8663269343131037
"[[0.         0.         0.        ]
 [2.18748877 1.73473228 2.93824145]
 [0.15478709 2.24337322 2.51419255]
 [2.04977414 3.44175621 3.89390478]]",[-1.53582976 -1.10566146],"[[(0, 2), (1, 3)], [(0, 3), (1, 2)], [(0, 1), (2, 3)]]","[[ 0.70718293 -0.00186628 -0.70702651  0.00153175]
 [-0.00771507  0.70664475 -0.01111469 -0.70743914]
 [ 0.70653192  0.03499566  0.70663085  0.0161492 ]
 [-0.02540532  0.70670009 -0.02574555  0.70658808]]",-1.882855811302528,-1.8774876377358176
"[[0.         0.         0.        ]
 [2.39427276 0.27108014 0.2585038 ]
 [3.11048933 1.46487402 2.08378911]
 [5.50145606 3.49279068 3.00820618]]",[-1.57249807 -1.29737029],"[[(0, 3), (1, 2)], [(0, 1), (2, 3)], [(0, 2), (1, 3)]]","[[ 0.70704739  0.00889917  0.00928116 -0.70704926]
 [-0.00174101  0.70703031 -0.70717791 -0.00212493]
 [-0.00899626  0.70712486  0.70697182  0.00918403]
 [ 0.7071068   0.00183889 -0.00202703  0.70710147]]",-1.8725718438785774,-1.8699550796411204
"[[0.         0.         0.        ]
 [0.17104495 0.39510421 1.05356809]
 [1.23184476 2.43759671 3.13879978]
 [1.05734992 2.14352736 4.68671195]]",[-0.43785648 -0.79874537],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.70709401 -0.70705257 -0.00706394  0.0066945 ]
 [ 0.70709106  0.70711072  0.00373654  0.00164298]
 [ 0.00583217 -0.00792638  0.70719512 -0.70694994]
 [-0.00250601 -0.00287313  0.70697327  0.70722999]]",-2.0560682618989237,-2.0560364320147992
"[[0.         0.         0.        ]
 [3.20950616 3.23075906 0.9290417 ]
 [5.26727405 4.19509488 4.80397577]
 [4.77560711 5.28976806 1.09304134]]",[-1.57141078 -1.41025257],"[[(0, 2), (1, 3)], [(0, 1), (2, 3)], [(0, 3), (1, 2)]]","[[ 7.07106706e-01  4.86664555e-05 -7.07106853e-01  5.09293304e-05]
 [-2.94593817e-04  7.07106752e-01 -2.96856626e-04 -7.07106687e-01]
 [ 7.07106785e-01  3.63261148e-04  7.07106647e-01 -2.28189286e-04]
 [-1.17333806e-04  7.07106715e-01 -1.77380066e-05  7.07106837e-01]]",-1.8684167805352785,-1.8684113672043574
"[[0.         0.         0.        ]
 [0.49622004 0.43224834 0.10950485]
 [1.89468037 1.23036007 0.35900935]
 [0.47775137 3.33642744 3.50483433]]",[-0.18528887 -1.56001463],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 7.04365172e-01 -6.95652157e-01 -1.00015913e-01  9.96724582e-02]
 [ 7.04346411e-01  7.09643980e-01  1.24887548e-02 -1.20659350e-02]
 [ 8.81239872e-02 -1.11684162e-01  6.99899976e-01 -6.99929164e-01]
 [-3.77042448e-05 -3.83419076e-04  7.07093256e-01  7.07120201e-01]]",-2.0582840092534433,-2.0569469321970084
"[[0.         0.         0.        ]
 [1.93630644 2.33819667 2.02119731]
 [4.00064728 5.2716311  4.47527548]
 [2.80759427 0.50070818 2.97773143]]",[-1.57153588 -1.27729805],"[[(0, 2), (1, 3)], [(0, 1), (2, 3)], [(0, 3), (1, 2)]]","[[ 7.07106372e-01  1.21889047e-03 -7.07105844e-01  6.46897906e-04]
 [-3.04250568e-04  7.07106167e-01  2.67741013e-04 -7.07107279e-01]
 [ 7.07106233e-01  2.08857050e-04  7.07107278e-01  1.72347617e-04]
 [-1.12349709e-03  7.07106314e-01  7.42291368e-04  7.07105967e-01]]",-1.8732037083439463,-1.8731877360076516
"[[0.         0.         0.        ]
 [2.90584971 2.82885937 0.8354796 ]
 [5.50270738 3.73934505 2.92576787]
 [3.27926031 4.36947    1.1003162 ]]",[-1.57094788 -0.82005551],"[[(0, 2), (1, 3)], [(0, 1), (2, 3)], [(0, 3), (1, 2)]]","[[ 7.07106367e-01  6.50328259e-04 -7.07106445e-01  7.99405962e-04]
 [-8.94968455e-03  7.07060813e-01 -9.09872537e-03 -7.07037568e-01]
 [ 7.07044654e-01  1.11885504e-02  7.07047111e-01 -6.85970415e-03]
 [-2.88896761e-03  7.07063929e-01 -1.43923167e-03  7.07142265e-01]]",-1.9155732138112156,-1.9154197195347578
"[[0.         0.         0.        ]
 [0.7471515  2.06022964 2.89677335]
 [1.43456752 0.43508876 3.39986698]
 [1.63200906 5.83250812 5.12042026]]",[-1.5718229  -1.01194143],"[[(0, 3), (1, 2)], [(0, 1), (2, 3)], [(0, 2), (1, 3)]]","[[ 7.07105097e-01  3.06083542e-03  3.26289332e-04 -7.07101765e-01]
 [-1.35656219e-03  7.07103543e-01 -7.07107375e-01  1.37798261e-03]
 [-1.95632692e-03  7.07103350e-01  7.07106059e-01  1.43079746e-03]
 [ 7.07104458e-01  2.52046097e-04  2.73473933e-04  7.07109007e-01]]",-1.8921395203035227,-1.8921207091042493
"[[0.         0.         0.        ]
 [2.84010458 0.4726712  2.36775213]
 [3.99062746 1.4136325  1.14572467]
 [5.35802712 2.91589553 2.85613551]]",[-1.57218865 -1.07941202],"[[(0, 3), (1, 2)], [(0, 1), (2, 3)], [(0, 2), (1, 3)]]","[[ 7.07100706e-01  1.49015777e-03  1.11810304e-03 -7.07110403e-01]
 [-1.10173090e-02  7.07069308e-01 -7.06978286e-01 -1.06449809e-02]
 [-2.24051467e-03  7.07044752e-01  7.07165160e-01  3.67725097e-04]
 [ 7.07023473e-01  1.17682848e-02 -9.89386638e-03  7.07022933e-01]]",-1.8857487712729908,-1.8851004386757246
"[[0.         0.         0.        ]
 [0.7119642  0.36930319 3.47551455]
 [4.69396467 4.33280137 4.94806984]
 [2.12330111 3.68617301 2.05275481]]",[-1.54750368 -1.56048257],"[[(0, 1), (2, 3)], [(0, 2), (1, 3)], [(0, 3), (1, 2)]]","[[ 7.07106930e-01 -7.07106629e-01 -4.27267671e-05 -4.74869352e-05]
 [ 7.07106630e-01  7.07106932e-01  1.40794643e-05 -2.57426087e-05]
 [-2.22911063e-05 -1.75309653e-05  7.07106927e-01 -7.07106635e-01]
 [ 5.09384363e-05 -3.92752645e-05  7.07106634e-01  7.07106925e-01]]",-1.8663873464890965,-1.8663808276675602
"[[0.         0.         0.        ]
 [0.25976919 3.53074228 0.26804054]
 [1.02950919 3.33977162 3.73919901]
 [3.29329365 1.74203045 1.59714156]]",[-1.54722751 -1.54329105],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 7.07106821e-01 -7.07106732e-01 -1.10852691e-04 -3.34578298e-06]
 [ 7.07106740e-01  7.07106807e-01  1.45652037e-04  8.29828148e-06]
 [-1.49234195e-05 -1.22430349e-04  7.07106856e-01 -7.07106696e-01]
 [-1.98759131e-05 -1.34074382e-04  7.07106683e-01  7.07106867e-01]]",-1.8664428367511627,-1.8664051558334682
"[[0.         0.         0.        ]
 [3.7851748  3.79990502 2.06336793]
 [0.08522539 0.55774001 3.01389785]
 [3.91116837 4.47014185 5.69061188]]",[-1.5051662  -1.55362502],"[[(0, 2), (1, 3)], [(0, 3), (1, 2)], [(0, 1), (2, 3)]]","[[ 0.70710678  0.         -0.70710678  0.        ]
 [ 0.          0.70710678  0.         -0.70710678]
 [ 0.70710678  0.          0.70710678  0.        ]
 [ 0.          0.70710678  0.          0.70710678]]",-1.8667201105511622,-1.8667200002687756
"[[0.         0.         0.        ]
 [2.99465743 3.23687355 2.32327521]
 [5.83931525 6.83506857 4.04431366]
 [6.37757717 3.37722686 3.02299563]]",[-1.57128513 -1.54181927],"[[(0, 2), (1, 3)], [(0, 1), (2, 3)], [(0, 3), (1, 2)]]","[[ 7.07106778e-01  5.60554269e-06 -7.07106784e-01  5.48379862e-06]
 [-9.23463011e-05  7.07106837e-01 -9.22245553e-05 -7.07106714e-01]
 [ 7.07106778e-01  9.65764436e-05  7.07106772e-01 -8.79944120e-05]
 [-9.83567838e-06  7.07106719e-01  1.25366296e-06  7.07106843e-01]]",-1.8664074453560853,-1.8663867975572899
"[[0.         0.         0.        ]
 [3.30309727 3.91028434 0.43721691]
 [3.66749971 6.61168898 2.52077331]
 [3.83818286 7.97039192 2.86866563]]",[-1.56985937 -0.65119576],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 7.07102799e-01 -7.07110763e-01 -2.65448696e-06  2.53995617e-06]
 [ 7.07099081e-01  7.07091120e-01  3.46103692e-03  4.58900742e-03]
 [ 5.66617003e-04  5.61416209e-04  7.07102650e-01 -7.07110463e-01]
 [-4.02498315e-03 -4.02505240e-03  7.07102442e-01  7.07088209e-01]]",-1.9462548513456555,-1.946239678404782
"[[0.         0.         0.        ]
 [2.69707263 2.1945503  0.20996884]
 [3.2755368  4.56818178 0.32859397]
 [4.50201576 5.80648129 0.25171086]]",[-1.54262925 -0.93350991],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 7.07099179e-01 -7.07113741e-01 -7.28587937e-04  6.13834943e-04]
 [ 7.06839597e-01  7.06825736e-01  1.75406269e-02  2.16214924e-02]
 [ 2.71718990e-03  1.37475846e-03  7.06931431e-01 -7.07275532e-01]
 [-1.95231114e-02 -1.96378512e-02  7.07064175e-01  7.06607002e-01]]",-1.8997527079114378,-1.898583585185569
"[[0.         0.         0.        ]
 [0.41283202 1.4887574  2.10341213]
 [0.22706563 2.7017953  1.17003187]
 [1.96622778 2.08066647 2.89027645]]",[-1.59545306 -0.73308591],"[[(0, 3), (1, 2)], [(0, 2), (1, 3)], [(0, 1), (2, 3)]]","[[ 0.70566829  0.02729487  0.00909264 -0.70795804]
 [-0.02067742  0.70473083 -0.70916882 -0.00254829]
 [-0.08825196  0.70421841  0.70257069 -0.05179239]
 [ 0.70272064  0.08176727  0.05823519  0.70434826]]",-1.9211441785575658,-1.912187261713818
"[[0.         0.         0.        ]
 [2.98736946 0.53156441 3.60937294]
 [1.55578407 3.71910824 2.17179091]
 [3.00093732 2.57731411 3.37424559]]",[-1.57027039 -1.16670071],"[[(0, 2), (1, 3)], [(0, 1), (2, 3)], [(0, 3), (1, 2)]]","[[ 7.07111575e-01  8.69028158e-05 -7.07101979e-01  6.50334197e-05]
 [-1.94236928e-02  7.07124533e-01 -1.94020340e-02 -7.06555855e-01]
 [ 7.06834645e-01  1.84934527e-02  7.06844641e-01 -2.03329835e-02]
 [ 8.51254165e-04  7.06847140e-01  1.00319483e-03  7.07365103e-01]]",-1.879744031110707,-1.874809644630792
"[[0.         0.         0.        ]
 [2.91102197 1.99958098 0.49732186]
 [0.30084745 3.11767404 2.46682994]
 [6.57756795 2.65916633 4.32161158]]",[-1.57124852 -1.54170645],"[[(0, 3), (1, 2)], [(0, 1), (2, 3)], [(0, 2), (1, 3)]]","[[ 7.07106866e-01  1.57128795e-04  6.72216726e-05 -7.07106676e-01]
 [-4.67311042e-05  7.07106621e-01 -7.07106938e-01  4.31759690e-05]
 [-1.14272925e-04  7.07106924e-01  7.07106621e-01  1.10077562e-04]
 [ 7.07106686e-01  3.87522811e-06  3.20104074e-07  7.07106876e-01]]",-1.8664093297406057,-1.8663762640403965
"[[0.         0.         0.        ]
 [2.59631098 3.47118426 0.37122237]
 [1.28986209 1.95907493 0.75596432]
 [3.33993125 3.70007311 0.82394148]]",[-1.3675578  -0.29267027],"[[(0, 2), (1, 3)], [(0, 3), (1, 2)], [(0, 1), (2, 3)]]","[[ 7.07294512e-01 -4.62403594e-03 -7.06903556e-01  6.74271263e-04]
 [ 4.21842825e-03  7.06111708e-01 -1.07349514e-03 -7.08087077e-01]
 [ 7.04951865e-01  5.30307338e-02  7.05048282e-01  5.60136546e-02]
 [-5.25313864e-02  7.06096747e-01 -5.65077914e-02  7.03899643e-01]]",-2.0545587306625612,-2.0539122932538083
"[[0.         0.         0.        ]
 [3.83674768 3.25167559 3.83571873]
 [3.50368608 1.82420083 1.74362371]
 [7.44390167 6.24467958 4.24248635]]",[-1.57149007 -1.39904731],"[[(0, 3), (1, 2)], [(0, 2), (1, 3)], [(0, 1), (2, 3)]]","[[ 7.07106744e-01  1.14881343e-04 -1.21328060e-04 -7.07106799e-01]
 [-1.17017294e-04  7.07107039e-01 -7.07106504e-01  1.19192106e-04]
 [-4.27963200e-05  7.07106513e-01  7.07107046e-01 -4.92431223e-05]
 [ 7.07106807e-01  4.49323018e-05  4.71071395e-05  7.07106752e-01]]",-1.8687148150238437,-1.8687138520947841
"[[0.         0.         0.        ]
 [0.08810092 3.27529136 1.4186102 ]
 [1.1271252  7.02948093 4.74226492]
 [3.59039042 4.93834692 4.64490944]]",[-1.55006044 -1.52193438],"[[(0, 1), (2, 3)], [(0, 2), (1, 3)], [(0, 3), (1, 2)]]","[[ 0.70710678 -0.70710678  0.          0.        ]
 [ 0.70710678  0.70710678  0.          0.        ]
 [ 0.          0.          0.70710678 -0.70710678]
 [ 0.          0.          0.70710678  0.70710678]]",-1.8665659555573981,-1.8665644942568727
"[[0.         0.         0.        ]
 [1.48346023 0.95055003 1.11121281]
 [2.0080653  1.66878357 1.43911288]
 [0.3801085  0.68366889 0.93969024]]",[-0.46133963 -0.25951278],"[[(0, 3), (1, 2)], [(0, 2), (1, 3)], [(0, 1), (2, 3)]]","[[ 0.71165448 -0.07098621  0.06370266 -0.69602502]
 [ 0.08155798  0.69211084 -0.71523282 -0.05265824]
 [-0.15989733  0.7010772   0.67294607 -0.17339896]
 [ 0.67921207  0.15631475  0.17756007  0.69477269]]",-2.1335218252569694,-2.1231413774701804
"[[0.         0.         0.        ]
 [3.63264449 3.16690931 3.5219341 ]
 [6.65775103 4.92117933 4.0015837 ]
 [2.31440239 2.02222195 2.27719644]]",[-1.57093157 -1.2225211 ],"[[(0, 2), (1, 3)], [(0, 3), (1, 2)], [(0, 1), (2, 3)]]","[[ 7.07106551e-01  6.86707254e-04 -7.07106245e-01 -7.82291698e-04]
 [-6.45955650e-04  7.07105544e-01  8.23043448e-04 -7.07107244e-01]
 [ 7.07105434e-01  1.30572366e-03  7.07105368e-01  1.48280778e-03]
 [-1.34647425e-03  7.07106479e-01 -1.44205694e-03  7.07104331e-01]]",-1.8760223616992722,-1.8759933522854175
"[[0.         0.         0.        ]
 [3.19815611 2.34123734 2.55896919]
 [0.34101461 2.41633255 1.20579585]
 [6.50909574 2.49385716 3.90986092]]",[-1.44070592 -1.55013549],"[[(0, 2), (1, 3)], [(0, 3), (1, 2)], [(0, 1), (2, 3)]]","[[ 7.07107596e-01 -1.11123578e-03 -7.07104200e-01  1.12402357e-03]
 [ 1.12407223e-03  7.07104480e-01 -1.11118711e-03 -7.07107315e-01]
 [ 7.07105051e-01  1.63045112e-04  7.07108471e-01  1.75924166e-04]
 [-1.75875878e-04  7.07108190e-01 -1.63093405e-04  7.07105332e-01]]",-1.8676744442070667,-1.8675483224913993
"[[0.         0.         0.        ]
 [1.39537908 2.80796485 0.47784813]
 [1.9956823  2.73026618 2.35911742]
 [0.74799553 3.91722096 2.78447859]]",[-1.51609709 -0.94777349],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.70725958 -0.70694104 -0.00348284  0.00247414]
 [ 0.70561048  0.70578511  0.05319554  0.03393317]
 [-0.00661075 -0.01257014  0.7060852  -0.70798445]
 [-0.04305844 -0.04408784  0.70611741  0.70540799]]",-1.8961964145072256,-1.8883707330958988
"[[0.         0.         0.        ]
 [1.90852433 0.79318181 2.84142792]
 [2.11888218 3.11390989 3.18846377]
 [4.4522071  3.18613971 5.14010803]]",[-1.57309207 -1.32670502],"[[(0, 3), (1, 2)], [(0, 1), (2, 3)], [(0, 2), (1, 3)]]","[[ 0.70710569  0.00103575  0.00105748 -0.70710632]
 [-0.00266056  0.70710649 -0.70709698 -0.00268227]
 [-0.00115895  0.70710084  0.70711116  0.00093428]
 [ 0.70710192  0.00278377 -0.00255906  0.70710153]]",-1.8710486228773557,-1.8708404910410845
